description,query
"Flags events in tenant M0001 where MAGI detects suspicious or malicious PowerShell activity, while excluding a set of whitelisted script paths and code blocks to reduce false positives.","(tenantname:M0001 AND parsertype:MAGI AND ( evt:""Suspicious Command Execution"" OR evt:""Detects Malicious PowerShell Cmdlet"" OR evt:""Suspicious PowerShell Invocation Command Parameters"" )) AND (NOT trgattval:""function Get\\-SystemDriveInfo\\(\\) \\{      \\[string\\]$wql = ""SELECT \\* FROM Win32_LogicalDisk WHERE MediaType=12 AND Name = '"" \\+ $\\{env\\:systemdrive\\} \\+ ""'""      return Get\\-WmiObject \\-query $wql  \\}   "") AND (NOT trgattval:""C\\:\\\\Windows\\\\sysnative\\\\WindowsPowerShell\\\\v1.0\\\\powershell.exe \\-NoLogo \\-NonInteractive \\-NoProfile \\-ExecutionPolicy Bypass \\-File C\\:\\\\Windows\\\\Action1\\\\scripts\\\\Disable_Auto_Update_b2dc8090\\-312d\\-11f0\\-93b2\\-a308c10a74f8.ps1"") AND (NOT trgattval:""C\\:\\\\Windows\\\\sysnative\\\\WindowsPowerShell\\\\v1.0\\\\powershell.exe \\-NoLogo \\-NonInteractive \\-NoProfile \\-ExecutionPolicy Bypass \\-File C\\:\\\\Windows\\\\Action1\\\\scripts\\\\DataSource_1008.ps1"") AND (NOT trgattval:""C\\:\\\\Windows\\\\sysnative\\\\WindowsPowerShell\\\\v1.0\\\\powershell.exe \\-NoLogo \\-NonInteractive \\-NoProfile \\-ExecutionPolicy Bypass \\-File C\\:\\\\Windows\\\\Action1\\\\scripts\\\\DataSource_1004.ps1"") AND (NOT trgattval:""# Copyright © 2008\, Microsoft Corporation. All rights reserved.    trap \\{break\\}    # Include common library  . .\\\\CL_Utility.ps1    Import\\-LocalizedData \\-BindingVariable localizationString \\-FileName CL_LocalizationData    # Troubleshooting WER queue  Write\\-DiagProgress \\-Activity $localizationString.CheckWERQueue    \\[double\\]$freeSpace = Get\\-FreeSpace  \\[double\\]$percentage = Get\\-Percentage  \\[string\\]$userReportPath = Get\\-UserReportPath  \\[string\\]$machineReportPath = Get\\-MachineReportPath    \\[double\\]$userReportSize = Get\\-FolderSize $userReportPath  \\[double\\]$machineReportSize = Get\\-FolderSize $machineReportPath  \\[double\\]$totalSize = Format\\-DiskSpaceMB \\($userReportSize \\+ $machineReportSize\\)    # Reporting  $systemDrive = Get\\-SystemDriveInfo  if\\($systemDrive \\-ne $null\\) \\{      $systemDrive | Select\\-Object \\-Property @\\{Name=$localizationString.driveName;Expression=\\{$_.DeviceID\\}\\}\,@\\{Name=$localizationString.FreeSpace;Expression=\\{\\(Format\\-DiskSpaceGB $_.FreeSpace\\) \\+ ""GB""\\}\\}\,@\\{Name=$localizationString.totalSpace;Expression=\\{\\(Format\\-DiskSpaceGB $_.Size\\) \\+ ""GB""\\}\\} | ConvertTo\\-Xml | Update\\-DiagReport \\-id SystemDriveInfo \\-Name $localizationString.systemDriveInfo_name \\-Description $localizationString.systemDriveInfo_description \\-rid ""RC_WERQueue""  \\}    @\\{Name=$userReportPath;Space=$userReportSize\\} | Select\\-Object \\-Property @\\{Name=$localizationString.userReportPath;Expression=\\{$_.Name\\}\\}\,@\\{Name=$localizationString.userReportSpace;Expression=\\{\\(Format\\-DiskSpaceMB $_.Space\\) \\+ ""MB""\\}\\} | ConvertTo\\-Xml | Update\\-DiagReport \\-id UserReprotInfo \\-Name $localizationString.UserReportInfo_name \\-Description $localizationString.UserReportInfo_description \\-rid ""RC_WERQueue""    @\\{Name=$machineReportPath;Space=$machineReportSize\\} | Select\\-Object \\-Property @\\{Name=$localizationString.MachineReportPath;Expression=\\{$_.Name\\}\\}\,@\\{Name=$localizationString.MachineReportSpace;Expression=\\{\\(Format\\-DiskSpaceMB $_.Space\\) \\+ ""MB""\\}\\} | ConvertTo\\-Xml | Update\\-DiagReport \\-id AdminReprotInfo \\-Name $localizationString.MachineReportInfo_name \\-Description $localizationString.MachineReportInfo_description \\-rid ""RC_WERQueue""    if\\(\\(\\($freeSpace \\+ $userReportSize\\) \\-gt 0\\) \\-and \\($percentage \\-ge 0\\)\\) \\{      if\\(\\($userReportSize \\/ \\($freeSpace \\+ $userReportSize\\)\\) \\* 100 \\-gt $percentage\\) \\{          Update\\-Diagrootcause \\-ID ""RC_WERQueue"" \\-Detected $true \\-Parameter @\\{'UnwantedSpace'=\\(Format\\-DiskSpaceMB $totalSize\\)\\}          return      \\}  \\}    if\\(\\(\\($freeSpace \\+ $machineReportSize\\) \\-gt 0\\) \\-and \\($percentage \\-ge 0\\)\\) \\{      if\\(\\($machineReportSize \\/ \\($freeSpace \\+ $machineReportSize\\) \\* 100 \\-gt $percentage\\)\\) \\{          Update\\-DiagRootcause \\-ID ""RC_WERQueue"" \\-Detected $true \\-Parameter @\\{'UnwantedSpace'=\\(Format\\-DiskSpaceMB $totalSize\\)\\}          return      \\}  \\}    Update\\-DiagRootcause \\-ID ""RC_WERQueue"" \\-Detected $false \\-Parameter @\\{'UnwantedSpace'=\\(Format\\-DiskSpaceMB $totalSize\\)\\}     "")"
Looks for events where the source IP is 204.76.203.80 and the tenant is D0034.,srcip:204.76.203.80 AND tenantname:D0034
"Finds logs for tenant D0034 where the traffic originates from 10.168.168.103 to the destination 1.1.1.1, with any destination domain.",tenantname:D0034  AND srcip:10.168.168.103 AND trgip:1.1.1.1 AND trgdomain:*
"Find URL-filtering events on the Palo Alto firewall for tenant M0001 where a target domain is logged and the content is categorized as adult, originating from source IP 103.93.82.3, while excluding results for OnlyFans, Backblaze B2, YouPorn, and BCGame domains.","tenantname:M0001 AND pname:""Palo Alto Next-Generation Firewall"" AND trgdomain:* AND evt:""URL filtering log"" AND trgdomain:* AND NOT trgdomain:onlyfans.com AND NOT trgdomain:backblazeb2.com AND NOT trgdomain:youporn.com AND NOT trgdomain:bcgame.li AND obssvccpn:adult AND srcip:103.93.82.3"
"Finds non-session firewall events from the Palo Alto Next-Generation Firewall for tenant M0001, excluding MAGI-parsed events and traffic to a list of adult/hosting domains, i.e., looks for other firewall activity outside those domains.","tenantname:M0001 AND pname:""Palo Alto Next-Generation Firewall"" AND NOT parsertype:MAGI AND NOT evt:Session* AND NOT trgdomain:youporn.com AND NOT trgdomain:backblazeb2.com AND NOT trgdomain:backblaze.com AND NOT trgdomain:xhamster.com AND NOT trgdomain:xxx.com AND NOT trgdomain:x.js AND NOT trgdomain:live.com AND NOT trgdomain:xnxx.com"
"Finds logs for tenant D0034 involving the Palo Alto Next-Generation Firewall, from any source country, excluding traffic destined to 8.8.8.8.","tenantname:D0034 AND pname:""Palo Alto Next\\-Generation Firewall"" AND srccountry:* AND NOT trgip:8.8.8.8"
Find events for tenant D0034 where Symantec Endpoint Security Protection allowed either an inbound or outbound network connection to the domain rb.tq.net.,"tenantname:D0034 AND pname:""Symantec Endpoint Security Protection"" AND ( evt:""Allowed Outbound connection"" OR evt:""Allowed Inbound connection"" )  AND trgdomain:rb.tq.net"
"Looks for events in tenant M0001 that are not a complete tax-event payload and excludes logs from common benign sources such as Windows logon events (4624), Windows syslog keepalive, Active Directory/Windows, vSphere vCenter, settingsd, SUT, and Veeam.","tenantname:M0001 AND NOT (taxevtst:* AND taxevtobj:* AND taxevtcon:* AND taxevtact:* AND taxoutpro:* AND taxoutobj:* AND taxoutcon:*) AND NOT rawmsg:""4624"" AND NOT rawmsg:""Windows syslog keepalive connection v2.2."" AND NOT pname:""Microsoft Active Directory and Windows"" AND NOT pname:""vSphere vCenter"" AND NOT rawmsg:""sut"" AND NOT rawmsg:""settingsd"" AND NOT pname:Veeam"
"Identify outbound traffic for tenant D0034 where the Palo Alto Next-Generation Firewall shows connections to high-risk target domains (score 100–300) with successful outbound-proxy processing, excluding the page.dingtalk.com domain and any sinkhole domains.","tenantname:D0034 AND pname:""Palo Alto Next\\-Generation Firewall"" AND blsrc_trgdomain:* AND blscore_trgdomain:[100 TO 300] AND taxoutpro:success AND NOT trgdomain:page.dingtalk.com AND NOT trgdomain:sinkhole*"
Find events from Trend-brand products that involve or are linked to the IP address 192.168.84.173.,pname:Trend* AND couip: 192.168.84.173
"Identify security log events that are not coming from a defined list of common security products and devices (and not from a specific host), and not flagged as unparsed, thereby focusing on activity from other, less-common sources.","NOT (taxevtst:* AND taxevtobj:* AND taxevtcon:* AND taxevtact:* AND taxoutpro:* AND taxoutobj:* AND taxoutcon:*) AND NOT pname:""Symantec Endpoint Security Protection"" AND NOT couname:172.16.0.21 AND NOT pname:""Microsoft Active Directory and Windows"" AND NOT pname:""vSphere vCenter"" AND NOT pname:""Palo Alto Next\\-Generation Firewall""  AND NOT pname:""Radware AppWall Web Application Firewall"" AND NOT parselogstatus:""no_parser"" AND NOT pname:MSSQL"
Filters for log events tagged as siem that have a severity level of 5.,taxevtst:siem AND sev:5
Identify network activity where the internal host 192.168.40.118 contacts the domain wwcdn.weixin.qq.com.,trgdomain:wwcdn.weixin.qq.com AND srcip:192.168.40.118
"Identify successful logon events (event 4624) for the user emilylaw in tenant M0001, excluding any logons from computer accounts (names ending with $).",tenantname:M0001 AND vec:4624 AND NOT trguname:*$ AND trguname:emilylaw
Filters logs to show network events whose destination (target) IP address is 198.41.0.4., trgip:198.41.0.4
"Show logs from tenant M0001 on the Palo Alto firewall where the destination domain is backblaze.com, excluding any session events, MAGI-parsed events, and traffic to youporn.com or backblazeb2.com.","tenantname:M0001 AND pname:""Palo Alto Next-Generation Firewall"" AND NOT parsertype:MAGI AND NOT evt:Session* AND NOT trgdomain:youporn.com AND NOT trgdomain:backblazeb2.com AND trgdomain:backblaze.com"
"Looks for cases where the Symantec Endpoint Protection client on tenant D0034 allowed a network connection to the domain pcapp-data-collect.youku.com from the host 192.168.47.35, with a populated target-domain context referencing that domain.","tenantname:D0034 AND pname:""Symantec Endpoint Security Protection"" AND ( evt:""Allowed Outbound connection"" OR evt:""Allowed Inbound connection"" ) AND trgdomain:* AND blsrc_trgdomain:* AND trgdomain:""pcapp\\-data\\-collect.youku.com"" AND srcip:192.168.47.35"
Finds logs for tenant D0034 on a Juniper SRX Firewall from the device 10.168.168.71 where traffic is headed to 1.1.1.1 and originates from 10.168.168.103.,"tenantname:D0034 AND pname:""Juniper SRX Firewall"" AND couname:10.168.168.71 AND trgip:1.1.1.1 AND srcip:10.168.168.103"
Finds events in tenant M0001 that were processed by the MAGI parser and originated from the user slsvradmin.,tenantname:M0001 AND parsertype:MAGI AND srcuname:slsvradmin
Filters for events where the source username equals sladmin., srcuname:sladmin
"Looks for events in tenant D0034 where the destination domain is test.com, the target-domain score is between 100 and 300, excludes a list of known domains (including binance.com and several others), and only includes cases where the outbound process is reported as a success.",tenantname:D0034 AND trgdomain:* AND blscore_trgdomain:[100 TO 300] AND NOT *.binance.com AND (NOT trgdomain:u.ipw.metadsp.co.uk) AND (NOT trgdomain:page.dingtalk.com) AND (NOT trgdomain:mgid.com) AND (NOT trgdomain:mc.yandex.ru) AND (NOT trgdomain:gumgum.com) AND taxoutpro:success AND trgdomain:test.com
It looks for intrusion events with severity 4 from tenant D0034 that originate in China.,tenantname:D0034 AND srccountry:CHN AND sev:4 AND evt:Intrusions
"Retrieves security events for tenant D0034 from Symantec Endpoint Security Protection, but excludes events that are allowed outbound or inbound connections, USB-drive log events, and severity 6, and only includes records that have an event field.","tenantname:D0034 AND pname:""Symantec Endpoint Security Protection"" AND NOT evt:""Allowed Outbound connection"" AND NOT evt:""Allowed Inbound connection""  AND NOT evt:""Log files written to USB drives"" AND NOT sev:6 AND evt:*"
Finds MAGI-parsed events where there is a parameter name specified (any value).,parsertype:MAGI AND pname:*
It searches for events where the user is itadmin and the activity originated from source IP 10.1.172.31.,trguname:itadmin  AND srcip:10.1.172.31
It searches for explicit credential logon attempts (Windows event 4648) within tenant M0001 where the source username is localveeamhksvr150.,tenantname:M0001 AND vec:4648 AND srcuname:localveeamhksvr150
"Filters logs to show events for tenant D0034 from Fortinet Fortigate devices, with severity level 4, originating from IP 112.120.42.225.","tenantname:D0034 AND pname:""Fortinet Fortigate"" AND sev:4  AND srcip:112.120.42.225"
It flags events from either 192.168.42.75 or 192.168.42.76 that have severity greater than 6.,couip: 192.168.42.75 OR couip:192.168.42.76 sev:>6
"Identifies outbound events from tenant D0034 to target domains with a high risk score in the 100–300 range, excluding Binance (and all subdomains) and several specific domains, and only when the taxoutpro result is successful.",tenantname:D0034 AND trgdomain:* AND blscore_trgdomain:[100 TO 300] AND NOT *.binance.com AND (NOT trgdomain:u.ipw.metadsp.co.uk) AND (NOT trgdomain:page.dingtalk.com) AND (NOT trgdomain:mgid.com) AND (NOT trgdomain:mc.yandex.ru) AND (NOT trgdomain:gumgum.com) AND taxoutpro:success AND NOT trgdomain:test.com
Search for events in tenant D0034 originating from 120.235.181.73 that involve the Sangfor_CyberCommand process.,tenantname:D0034 AND srcip:120.235.181.73 AND pname:Sangfor_CyberCommand
Targets high-severity events for tenant D0034 that originate from China or Hong Kong and involve the Sangfor_CyberCommand process.,"tenantname:D0034 AND (srccountry:CHN OR srccountry:HKG) AND pname:""Sangfor_CyberCommand"" AND sev:5"
It searches for tenant D0034 activity where any source IP comes from country HCHN and the Sangfor_CyberCommand program is involved.,"tenantname:D0034 AND srcip:* AND srccountry:HCHN AND pname:""Sangfor_CyberCommand"""
"Looks for events for tenant D0034 from the IP 39.98.47.180 that have VOC 200, excluding any events where taxevtst is nfw.",tenantname:D0034 AND NOT taxevtst:nfw AND voc:200 AND srcip:39.98.47.180
"Finds events for tenant D0034 where Radware DefensePro Anti-DDoS Protection reported a successful action, with the source IP 40.77.167.68 having a blacklist score between 50 and 200.","tenantname:D0034 AND pname:""Radware DefensePro Anti\\-DDoS Protection"" AND taxoutpro:success AND blscore_srcip:[50 TO 200] AND srcip:40.77.167.68"
Looks for events processed by the MAGI parser that have correlation ID 10120 and originate from the IP address 13.64.111.114.,parsertype:MAGI AND corrinfoid:10120 AND srcip:13.64.111.114
"Identify logs for tenant D0034, but exclude events from the specified IPs and hostnames, any events with a failed parcel status, any events involving Symantec Endpoint Security Protection, and any events that have all the listed tax-related fields populated.","tenantname:D0034 AND NOT (taxevtst:* AND taxevtobj:* AND taxevtcon:* AND taxevtact:* AND taxoutpro:* AND taxoutobj:* AND taxoutcon:*) AND NOT couip:192.168.199.254 AND NOT couname:172.16.0.121 AND NOT parselogstatus:""failed"" AND NOT  pname:""Symantec Endpoint Security Protection"" AND NOT couname:192.168.6.201 AND NOT couname:10.0.50.132"
"Retrieve logs from tenant M0001 where log parsing did not succeed and the status isn’t no_parser (i.e., parsing was attempted but failed).",NOT parselogstatus:success AND NOT parselogstatus:no_parser AND tenantname:M0001
"Identify anomalous attack events in tenant D0034 with severity 4, where a source IP is present.",tenantname:D0034 AND srcip:* AND sev:4 AND taxevtobj:attack AND evt:Anomaly
"Finds Anti-Scanning events for tenant D0034 from Radware DefensePro Anti-DDoS Protection, excluding entries with source IP 0.0.0.0.","tenantname:D0034 AND pname:""Radware DefensePro Anti-DDoS Protection"" AND NOT srcip:0.0.0.0 AND evt:""Anti-Scanning"""
It flags failed authentication attempts performed by the user itadmin.,"taxevtact:""authenticate"" AND taxoutpro:""failure"" AND trguname:""itadmin"""
It returns logs where the process name field is absent or not recorded.,-pname:*
"Searches for logs where the MAGI parser handled an event with correlation ID 10120, originating from 65.49.1.14 and destined for 10.1.0.54.",parsertype:MAGI AND corrinfoid:10120 AND srcip:65.49.1.14 AND trgip:10.1.0.54
"Identifies command execution events where a Display command was run, but excludes a large set of normal display commands to surface unusual or potentially sensitive command usage.","evt:""Display CMD Record\\(s\\)"" AND (NOT trgattval:""display ips\\-engine information"") AND (NOT trgattval:""display ike offline\\-info"") AND (NOT trgattval:""display ike error\\-info verbose"") AND (NOT trgattval:""display engine statistics system"") AND (NOT trgattval:""display engine memory all"") AND (NOT trgattval:""display ipsec message statistics"") AND (NOT trgattval:""display interface GigabitEthernet0\\/0\\/0"") AND (NOT trgattval:""display health"") AND (NOT trgattval:""display firewall session statistics all\\-systems"") AND (NOT trgattval:""display diagnostic\\-information hf\\-log"") AND (NOT trgattval:""display interface GigabitEthernet1\\/0\\/5"") AND (NOT trgattval:""display interface GigabitEthernet1\\/0\\/4"") AND (NOT trgattval:""display interface GigabitEthernet1\\/0\\/3"") AND (NOT trgattval:""display interface GigabitEthernet1\\/0\\/2"") AND (NOT trgattval:""display interface GigabitEthernet1\\/0\\/1"") AND (NOT trgattval:""display ipsec statistics"") AND (NOT trgattval:""display firewall statistic sys normal"") AND (NOT trgattval:""display firewall statistic sys error"") AND (NOT trgattval:""display firewall statistic sys discard"") AND (NOT trgattval:""display firewall ipv6 session statistics all\\-systems"")"
"Finds log entries for tenant D0034 with voc equal to 200 and taxoutpro equal to 1, excluding any events whose source IP is in the 10.0.0.0/8 private address range.",tenantname:D0034 AND voc:200 AND taxoutpro:1 AND NOT srcip:10.*.*.*
Identify security events from Sangfor_CyberCommand that involve the destination IP 210.87.250.13.,pname:Sangfor_CyberCommand AND trgip:210.87.250.13
"It filters for logs from tenant M0001 where the firewall product is Palo Alto Next-Generation Firewall, while excluding MAGI parser types, any session-related events, and any events targeting youporn.com.","tenantname:M0001 AND pname:""Palo Alto Next-Generation Firewall"" AND NOT parsertype:MAGI AND NOT evt:Session* AND NOT trgdomain:youporn.com"
